,id,make,model,true,predict,score,max_depth,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_estimators,alpha_value,trainScore
2647,3101358,Skoda,Octavia,9.598998361767967,9.709656446758634,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
14094,3164200,Opel,Crossland X,10.401227936753463,10.467679704626892,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
13960,3163938,Suzuki,Vitara,10.237993571703798,10.603740441599617,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
1504,3094512,Seat,Ateca,10.269865271936245,10.243587858799359,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
9991,3155766,Ford,Transit Custom,10.12643108384767,9.998644759744595,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
11013,3157915,Nissan,X-Trail,10.477006245640542,10.297778972969066,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
14279,3164527,Toyota,Corolla,10.269865271936245,10.374702421119924,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
13907,3163775,Nissan,Note,9.795345393916424,9.771308652444153,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
4191,3109663,Kia,Sorento,11.007087382715277,10.94516967736741,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
16298,3167887,Toyota,Yaris,9.769670404801788,9.931728695359162,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
13863,3163698,Volkswagen,T-Roc,10.144471021978669,10.177658426604856,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
12915,3161866,Renault,Megane,8.986571625268054,9.07511146920543,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
4104,3109119,Nissan,Qashqai,10.079539496316487,10.155117240419202,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
2014,3097930,Nissan,Micra,8.817149624743406,8.941338493528034,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
6942,3140084,Land,ROVER Discovery,11.11095424611632,11.154314847129575,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
3427,3105252,Toyota,Rav4,9.795345393916424,9.680492757866537,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
15806,3167114,Ford,Fiesta,9.301094735244646,9.238982145270535,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
15537,3166685,Skoda,Octavia,10.012117717061576,10.034368674478523,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
12886,3161791,Skoda,Karoq,10.236381967809457,10.210681990108975,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
8705,3152832,Audi,A3,10.48849257447637,10.229742374087058,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
14429,3164767,Mazda,CX-5,10.308919326755392,10.458845674451183,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
1292,3093030,Toyota,Rav4,10.402746539930654,10.493722593008842,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
12467,3160954,Kia,Sportage,10.043032079974024,10.090436490427457,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
13548,3163149,Kia,Sportage,10.079539496316487,9.98127222773982,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
68,3084800,Toyota,Prius,9.392245175273795,9.522310166793847,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
1706,3095861,Kia,Sportage,9.735068900911164,9.842835543771795,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
9931,3155672,Hyundai,Tucson,10.221941283654663,10.206160558060787,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
7243,3140966,Dacia,Duster,10.255868289551836,10.262735581030535,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
10323,3156492,Land,ROVER Discovery,11.318308630082122,11.13324597302869,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
6475,3138636,Ford,Kuga,9.468851067127684,9.703357869219062,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
7618,3157620,Volvo,XC90,11.288531131754366,11.026335747306693,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
3757,3107262,Volvo,XC90,11.218554404367652,11.01639915300075,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
8063,3151295,Mini,Hatch,9.674074388208323,9.502105081743249,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
8493,3152310,Toyota,Vitz,9.453286550586572,9.363939956018601,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
6161,3137713,Mazda,Demio,9.388486557359657,9.434451058980933,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
14301,3164557,Audi,A3,10.373459931293572,10.266848708048425,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
14000,3164014,Audi,A6,11.169730682588188,10.918833619813338,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
3079,3103503,Volkswagen,Touareg,10.461673747661957,10.347427002507844,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
13531,3163121,Volkswagen,Transporter,10.388995368317829,10.204761241256982,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
4060,3108923,Bmw,3 Series,9.632334782035558,9.813595131294425,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
9327,3154324,Skoda,Octavia,10.75577295443437,10.783191293285613,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
13986,3163990,Ford,Kuga,9.90098442231801,10.095840591262862,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
14732,3165272,Volkswagen,Golf,9.973479924356162,9.944517429892924,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
13320,3162615,Seat,Leon,9.822819649468673,10.10165338438725,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
12010,3160104,Volkswagen,Polo,9.471935109664646,9.430460728990155,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
17527,3169833,Kia,Rio,9.60911649193355,9.497285361596626,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
13415,3162883,Mazda,Mazda2,9.851931065621725,10.001315916967405,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
9625,3154970,Hyundai,Kona,10.419300717813158,10.705756105564548,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
1619,3095226,Volkswagen,Passat,10.04107321548869,9.811658205698558,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
6361,3138289,Bmw,X3,10.714306651468048,10.651131738929413,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
7151,3140699,Volkswagen,Tiguan,10.365648004320837,10.374490653114185,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
763,3089430,Mercedes-benz,C Class,10.984444905965518,10.87409931117694,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
6498,3138699,Ford,Focus,9.849559210510572,9.901240459746628,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
549,3088064,Audi,A4,10.371927459805681,10.318268929764175,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
12833,3161687,Bmw,1 Series,9.67721410821299,9.695377022248097,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
12767,3161548,Ford,Focus,9.641473226832925,9.615915836910764,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
13229,3162421,Kia,Ceed,9.546455401949554,8.149496356496114,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
13808,3163600,Toyota,Auris,9.60911649193355,9.53610864692886,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
10009,3155802,Mercedes-benz,CLA Class,10.958165369058063,11.05956558639827,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
16762,3168587,Hyundai,i20,9.543234787249512,9.508022011903615,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
2088,3098351,Renault,Kadjar,10.433821642690162,10.323691068465116,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
6394,3138402,Audi,A6,10.798554647958657,10.633642305348912,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
2659,3101413,Volkswagen,Polo,9.429475901892854,9.363936450254844,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
7056,3140442,Bmw,4 Series,10.542706391070517,10.502247124635279,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
15359,3166326,Audi,Q3,10.042814617757227,10.158181491682743,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
3674,3106784,Mercedes-benz,E Class,10.517320926376348,10.359256632551881,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
9481,3154672,Nissan,Qashqai,10.323841273138044,10.30953050452558,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
16184,3167708,Audi,A3,9.811920359010637,9.796239104292013,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
11503,3159097,Ford,Focus,9.350102314351341,9.37024831087111,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
14953,3165634,Volkswagen,Tiguan,10.819678279409949,10.84932075675156,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
3562,3106061,Toyota,Landcruiser,10.596609732783568,10.375805870809954,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
10180,3156159,Audi,A3,10.341710224882465,10.300747373595621,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
10181,3156160,Mitsubishi,Outlander,10.402746539930654,10.475353706477657,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
15010,3165761,Bmw,1 Series,9.851931065621725,9.633551472762775,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
11145,3158174,Audi,A6,9.949893925350283,9.872177658350134,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
16634,3168390,Nissan,Qashqai,10.021048341275273,9.827895147553008,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
13504,3163059,Opel,Insignia,10.106428396532818,10.127740846637792,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
2102,3098454,Seat,Ateca,10.307284603543595,10.241157652333863,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
9326,3154323,Nissan,Qashqai,9.846917201047734,9.865730239747121,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
8339,3151986,Volkswagen,Golf,9.99857043378282,10.084166305822068,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
4799,3133691,Volkswagen,Golf,9.680031452383618,9.60550497822409,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
12752,3161512,Renault,Megane,9.975342989636555,9.923301142899197,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
11717,3159564,Ford,Focus,9.738023112808596,9.644122980076334,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
16880,3168766,Renault,Kadjar,10.104385494903019,10.220742619434613,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
7541,3150114,Toyota,Hilux,10.124629101179664,10.116699380766999,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
906,3090589,Ford,Kuga,9.766808353620874,9.88072731047552,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
17217,3169366,Ford,Focus,10.338511462885837,10.118426376130108,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
9188,3153984,Ford,Ranger,11.033969886322664,11.029476837719358,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
5064,3134485,Opel,Astra,10.367221568768269,9.985496169691578,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
8335,3151975,Audi,A4,10.404111313817522,10.339693947668893,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
2979,3103050,Nissan,Serena,9.645364282325891,9.631994266237099,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
8645,3152682,Volkswagen,Golf,9.491752831414368,9.528288959883938,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
4519,3114914,Skoda,Octavia,9.506734385029985,9.518102297366017,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
10991,3157876,Audi,A6,10.544024782823776,10.385955723388982,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
5878,3136944,Mercedes-benz,E Class,9.210340371976184,9.53152121479099,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
11934,3159951,Toyota,Aqua,9.388486557359657,9.457356743590196,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
7498,3149971,Nissan,Note,9.734477009801846,9.575420114334625,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
178,3085417,Audi,Q3,10.083723602839061,10.164381326629634,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
15956,3167336,Hyundai,Santa Fe,11.05081063714473,10.847154823354643,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
15097,3165888,Dacia,Duster,9.90098442231801,10.204021808284063,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
16669,3168442,Kia,Sportage,9.598998361767967,9.59686772647858,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
13210,3162399,Hyundai,i40,9.612466578818832,9.519855248292165,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
5751,3136542,Opel,Astra,9.612466578818832,9.671872576110626,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
1831,3096755,Mazda,Mazda6,10.48849257447637,10.412903149589047,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
198,3085540,Audi,A4,10.735309127783832,10.713977557438774,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
3634,3106512,Kia,Stonic,9.90098442231801,10.234232261687614,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
1929,3097345,Ford,Focus,10.307284603543595,10.163403851627965,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
