,id,make,model,true,predict,score,max_depth,min_samples_leaf,min_samples_split,n_estimators,alpha_value,trainScore
10963,3157810,Mazda,CX-5,9.464982590349763,9.867814125804122,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
5094,3134602,Renault,Captur,10.122221395361638,10.374696381221355,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
402,3086909,Volkswagen,Golf,10.124629101179664,9.825624922685412,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
1775,3096300,Bmw,1 Series,9.543234787249512,9.640437107862338,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
13757,3163506,Peugeot,308,9.898475010712584,9.826528782744331,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
3964,3108268,Skoda,Octavia,9.612466578818832,9.66843121184772,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
9439,3154580,Skoda,Octavia,9.345745008982385,9.353497722602194,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
15594,3166779,Volvo,XC60,11.081373022098745,10.647046464749828,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
7675,3150406,Volkswagen,Tiguan,9.949893925350283,9.972855669185229,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
3941,3108140,Audi,A5,10.995914082117151,10.4778912979485,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
7637,3150320,Volkswagen,Golf,10.021048341275273,10.018804332326408,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
11444,3158978,Bmw,3 Series,9.878169744551839,9.720914839881528,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
8866,3153203,Audi,Q3,9.595262578853017,9.824688576976712,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
3997,3108667,Volkswagen,Touareg,9.851931065621725,10.062617383400012,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
6285,3138090,Opel,Mokka,10.355995266977605,10.217682715095918,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
4869,3133845,Volkswagen,Transporter,10.595383951194421,10.24028096329387,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
8383,3152083,Volkswagen,Polo,9.975575628930383,9.929828534103331,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
16856,3168732,Seat,Ibiza,9.468851067127684,9.695896234864165,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
16431,3168103,Volkswagen,Tiguan,10.308785980087194,10.310749360890597,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
3807,3107506,Bmw,X5,11.002016504398489,10.482016799753543,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
11130,3158151,Nissan,Qashqai,9.99857043378282,10.099762159625836,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
12793,3161603,Audi,A3,9.74090979777877,9.865599572908128,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
10147,3156099,Bmw,3 Series,10.238172478583245,10.334775372129126,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
6097,3137545,Ford,Focus,9.949893925350283,9.867865756415132,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
4697,3133345,Kia,Rio,9.612466578818832,9.628679634423312,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
8748,3152942,Hyundai,Kona,10.064542911536916,10.07887233213462,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
13799,3163591,Audi,A4,10.461673747661957,10.389961279670558,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
7542,3150115,Renault,Captur,9.429475901892854,9.539197952218041,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
7898,3150969,Skoda,Karoq,10.220121446937677,10.152551242078522,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
4149,3109335,Skoda,Fabia,9.578449693540579,9.773998078353848,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
13189,3162367,Peugeot,2008,9.61547209118311,10.206419552371194,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
15606,3166801,Volkswagen,T-Roc,10.461673747661957,10.322010925164069,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
9174,3153944,Volkswagen,Transporter,10.558205706476292,10.578647331292116,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
3936,3108109,Skoda,Karoq,10.238172478583245,10.154447146905898,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
4575,3133008,Ford,Kuga,10.239781201782993,10.156945677007968,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
15238,3166149,Citroen,Grand C4 Picasso,9.708080756193517,9.54293581649528,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
8036,3151240,Bmw,3 Series,10.262908722142885,10.357897182934346,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
1044,3091382,Honda,Civic,8.853093836138493,8.967642259798804,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
4091,3109050,Mercedes-benz,C Class,8.698681067461614,9.076738331967892,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
13617,3163272,Nissan,Qashqai,8.507142855562735,8.535537706191208,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
5622,3136167,Volkswagen,Golf,9.543234787249512,9.60520945321929,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
9424,3154529,Volkswagen,Golf,9.388486557359657,9.570730516488544,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
6289,3138098,Hyundai,Kona,10.025705185260378,10.11450477244859,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
10445,3156734,Hyundai,Tucson,10.620107089281216,10.481376855105133,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
12183,3160443,Volkswagen,Tiguan,10.777914080311584,10.472483179099894,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
2209,3098939,Land,ROVER Range Rover Evoque,10.505067539570582,10.411348599600474,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
17525,3169829,Toyota,Prius,9.67721410821299,9.938873400929676,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
10638,3157110,Kia,Sportage,10.360912399575003,10.254488088673366,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
13978,3163971,Audi,A4,10.083723602839061,10.178102722892778,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
13291,3162548,Skoda,Octavia,9.795289682058142,9.769120950910638,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
14501,3164902,Hyundai,Tucson,10.043032079974024,10.077544996351977,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
2959,3102964,Volkswagen,Golf,10.043032079974024,9.779204874224263,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
4439,3111032,Nissan,Qashqai,9.90323752128092,9.811991609695315,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
6431,3138521,Skoda,Kodiaq,10.308785980087194,10.558144275062675,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
5857,3136883,Volvo,XC60,10.544024782823776,10.615866648442461,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
15006,3165757,Volkswagen,Caddy,7.919356190660617,8.886710775048753,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
826,3089889,Bmw,3 Series,9.392245175273795,9.891600787368745,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
14576,3165022,Toyota,Vitz,9.041921720351219,9.34115968969835,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
671,3088788,Bmw,4 Series,10.984427942293221,10.586026666647456,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
4120,3109171,Audi,Q5,9.254357257392957,9.099284710916713,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
550,3088070,Renault,Megane,9.205327830152639,9.551697400685146,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
8853,3153170,Mercedes-benz,GLC Class,10.689669599063263,10.78706277608931,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
16103,3167582,Bmw,X3,10.858902839094332,10.701782380650533,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
2034,3098056,Volkswagen,Tiguan,10.34158118013602,10.34570356939407,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
8432,3152176,Volkswagen,Polo,9.464207095933233,9.449667848037658,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
4453,3111117,Ford,Focus,9.851931065621725,9.627038965896501,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
11655,3159406,Volkswagen,Passat,9.254357257392957,9.579120599501366,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
3951,3108213,Hyundai,Tucson,10.201738576337144,10.166760606079718,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
12063,3160187,Mercedes-benz,C Class,10.038368034729945,10.172182954798213,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
6804,3139648,Nissan,Qashqai,10.021048341275273,10.102631747868987,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
