dealer,county,make,model,vehicle_year,mileage,last_updated,price,transmission,engine,body,fuel,doors,mpg,owners,color,tax,nct_month,nct_year,download_date,page_id
Connollys hyundai galway,Galway,Hyundai,i40,2016.0,155486.0, 1 month ago,15950.0,Manual,1.7,Saloon,Diesel,4.0,55.0,1.0,Black,NaN,January,2022.0,2022-08-30,3085109
Connollys hyundai galway,Galway,Hyundai,Tucson,2018.0,0.0, 10 days ago,26950.0,Manual,1.7,Suv,Diesel,5.0,53.0,2.0,Red,200.0,January,2022.0,2022-08-30,3085110
Connollys hyundai galway,Galway,Kia,Sportage,2020.0,46783.0, 1 month ago,30950.0,Manual,1.6,Suv,Diesel,5.0,49.0,1.0,White,200.0,January,2024.0,2022-08-30,3085112
Connollys hyundai galway,Galway,Hyundai,Santa Fe,2018.0,109568.0, 2 months ago,34950.0,Manual,2.2,Suv,Diesel,5.0,41.0,2.0,Blue,NaN,January,2022.0,2022-08-30,3085116
Audi cork,Cork,Audi,Q5,2019.0,160354.0, 2 months ago,47995.0,Automatic,2.0,Suv,Diesel,4.0,43.0,NaN,Grey,NaN,January,2023.0,2022-08-30,3085119
Lyons of limerick,Limerick,Audi,A6,2020.0,35379.0, 2 hours ago,47500.0,Automatic,2.0,Saloon,Diesel,4.0,53.0,2.0,Grey,200.0,July,2024.0,2022-08-30,3085129
Lyons of limerick,Limerick,Volkswagen,Tiguan,2018.0,71242.0, 5 days ago,39500.0,Manual,2.0,Suv,Diesel,5.0,47.0,1.0,Grey,270.0,January,2022.0,2022-08-30,3085132
Carmaxx,Cork,Skoda,Fabia,2017.0,89297.0, 24 days ago,11995.0,Manual,1.0,Hatchback,Petrol,4.0,49.0,2.0,Grey,NaN,March,2023.0,2022-08-30,3085138
Carmaxx,Cork,Peugeot,3008,2020.0,54291.0, 1 day ago,33995.0,Manual,1.5,Mpv,Diesel,4.0,59.0,1.0,Grey,190.0,January,2024.0,2022-08-30,3085140
Carmaxx,Cork,Peugeot,2008,2016.0,83663.0, 24 days ago,12995.0,Manual,1.2,Suv,Petrol,4.0,48.0,2.0,Grey,NaN,March,2022.0,2022-08-30,3085142
Carmaxx,Cork,Kia,Sportage,2021.0,42782.0, 1 day ago,33995.0,Manual,1.6,Suv,Diesel hybrid,5.0,49.0,1.0,White,NaN,January,2025.0,2022-08-30,3085144
Carmaxx,Cork,Kia,Sportage,2017.0,103638.0, 1 day ago,24995.0,Manual,1.7,Suv,Diesel,5.0,51.0,1.0,Black,200.0,April,2021.0,2022-08-30,3085145
Carmaxx,Cork,Nissan,Qashqai,2019.0,93475.0, 25 days ago,24995.0,Manual,1.5,Hatchback,Diesel,NaN,56.0,1.0,Grey,120.0,June,2023.0,2022-08-30,3085147
