,dealer,county,make,model,vehicle_year,mileage,last_updated,price,transmission,engine,body,fuel,doors,mpg,owners,color,tax,nct_month,nct_year,download_date,page_id,log_price,age,owners_is_null,nct_is_null,mileage_is_0,make_and_model
11231,Monaghan &amp; sons ltd.,Galway,Seat,Leon,2021.0,27929.0, 9 days ago,30950.0,Manual,1.5,Hatchback,Petrol,5.0,48.0,1.0,White,210.0,February,2025.0,2022-09-07,3158339,10.340128278112742,1.0,False,False,False,Seat_Leon
11246,Bluegate car store by frank keane,Dublin,Seat,Leon,2015.0,114837.0, 2 hours ago,12495.0,Manual,1.6,Estate,Diesel,5.0,62.0,2.0,Grey,180.0,None,,2022-09-07,3158367,9.433083843269053,7.0,False,True,False,Seat_Leon
11359,Highway motors,Dublin,Seat,Leon,2014.0,171000.0, 3 days ago,13950.0,Automatic,2.0,Hatchback,Diesel,5.0,53.0,5.0,Blue,200.0,June,2024.0,2022-09-07,3158814,9.543234787249512,8.0,False,False,False,Seat_Leon
11493,Pauric connolly cars ltd.,Longford,Seat,Leon,2019.0,62764.0, 6 days ago,20950.0,Manual,1.6,Estate,Diesel,5.0,56.0,2.0,White,200.0,April,2023.0,2022-09-07,3159081,9.949893925350283,3.0,False,False,False,Seat_Leon
11535,Springhill motors,Louth,Seat,Leon,2017.0,122230.0, 13 days ago,15950.0,Manual,1.6,Hatchback,Diesel,5.0,59.0,2.0,Grey,180.0,May,2024.0,2022-09-07,3159169,9.67721410821299,5.0,False,False,False,Seat_Leon
11609,Moynehall car sales,Cavan,Seat,Leon,2017.0,177027.0, 1 day ago,14990.0,Manual,1.2,Hatchback,Petrol,5.0,48.0,2.0,Grey,,None,,2022-09-07,3159330,9.615138591096644,5.0,False,True,False,Seat_Leon
11704,Blackwater motors skibberreen,Cork,Seat,Leon,2016.0,89862.0, 12 days ago,14995.0,Manual,1.6,Estate,Diesel,,62.0,3.0,None,,September,2022.0,2022-09-07,3159534,9.61547209118311,6.0,False,False,False,Seat_Leon
11870,Kierans motors drogheda,Louth,Seat,Leon,2012.0,190000.0, 17 days ago,7950.0,Manual,1.6,Hatchback,Diesel,4.0,56.0,3.0,Red,190.0,March,2023.0,2022-09-07,3159837,8.980927207648378,10.0,False,False,False,Seat_Leon
11954,Southern motors,Cork,Seat,Leon,2013.0,162543.0, 4 hours ago,11750.0,Manual,1.4,Hatchback,Petrol,5.0,45.0,2.0,Red,200.0,September,2024.0,2022-09-07,3160001,9.371608519572305,9.0,False,False,False,Seat_Leon
11997,Mccoy motors ltd,Dublin,Seat,Leon,2019.0,38297.0, 6 hours ago,19450.0,Manual,1.0,Estate,Petrol,5.0,49.0,1.0,Black,,September,2023.0,2022-09-07,3160081,9.875602349046593,3.0,False,False,False,Seat_Leon
12060,Murphy doyle,Dublin,Seat,Leon,2017.0,130356.0, 4 days ago,15950.0,Manual,1.6,Hatchback,Diesel,5.0,59.0,1.0,Blue,200.0,August,2024.0,2022-09-07,3160183,9.67721410821299,5.0,False,False,False,Seat_Leon
12613,Mccoy motors ltd,Dublin,Seat,Leon,2021.0,31219.0, 12 days ago,36450.0,Automatic,1.4,Hatchback,Petrol hybrid,5.0,196.0,3.0,White,,March,2025.0,2022-09-07,3161198,10.503696737436805,1.0,False,False,False,Seat_Leon
13125,Bill sheehan &amp; sons,Dublin,Seat,Leon,2016.0,71998.0, 11 days ago,14950.0,Manual,1.6,Hatchback,Diesel,5.0,57.0,2.0,Red,,July,2024.0,2022-09-07,3162264,9.612466578818832,6.0,False,False,False,Seat_Leon
13135,Dmg motors ltd,Donegal,Seat,Leon,2017.0,0.0, 2 days ago,16900.0,Manual,1.6,Estate,Diesel,5.0,62.0,2.0,Blue,,January,2023.0,2022-09-07,3162278,9.735068900911164,5.0,False,False,True,Seat_Leon
13320,N7 motors,Dublin,Seat,Leon,2017.0,86397.0, 16 days ago,18450.0,Manual,2.0,Hatchback,Diesel,5.0,,1.0,White,200.0,August,2024.0,2022-09-07,3162615,9.822819649468673,5.0,False,False,False,Seat_Leon
13432,Bradys (dublin) limited,Dublin,Seat,Leon,2021.0,21499.0, 12 days ago,33950.0,Automatic,2.0,Hatchback,Diesel,5.0,,2.0,Red,,July,2025.0,2022-09-07,3162907,10.432644132986843,1.0,False,False,False,Seat_Leon
13614,Private,Monaghan,Seat,Leon,2009.0,144000.0, 13 days ago,11500.0,Automatic,2.0,Hatchback,Petrol,5.0,,1.0,White,790.0,November,2022.0,2022-09-07,3163268,9.350102314351341,13.0,False,False,False,Seat_Leon
13622,Albert berry motors ltd.,Monaghan,Seat,Leon,2020.0,15750.0, 20 hours ago,28950.0,Automatic,1.5,Hatchback,Petrol,5.0,41.0,2.0,Red,190.0,August,2024.0,2022-09-07,3163283,10.273325483001141,2.0,False,False,False,Seat_Leon
14021,T.p waters,Kildare,Seat,Leon,2013.0,165800.0, 5 hours ago,10895.0,Manual,1.6,Hatchback,Diesel,5.0,57.0,3.0,Black,180.0,December,2023.0,2022-09-07,3164061,9.29605924737872,9.0,False,False,False,Seat_Leon
14031,Cammia motors ltd,Dublin,Seat,Leon,2019.0,56000.0, 4 hours ago,25950.0,Automatic,2.0,Hatchback,Diesel,5.0,53.0,2.0,Grey,200.0,March,2023.0,2022-09-07,3164083,10.163926888594034,3.0,False,False,False,Seat_Leon
14152,Hanly motors,Roscommon,Seat,Leon,2014.0,169302.0, 10 days ago,10995.0,Automatic,1.2,Hatchback,Petrol,5.0,49.0,2.0,Black,200.0,March,2024.0,2022-09-07,3164295,9.305195902988862,8.0,False,False,False,Seat_Leon
14248,Green mile motors,Dublin,Seat,Leon,2017.0,139972.0, 7 hours ago,14500.0,Manual,1.6,Hatchback,Diesel,5.0,62.0,2.0,Red,190.0,January,2023.0,2022-09-07,3164474,9.581903928408666,5.0,False,False,False,Seat_Leon
14324,Hanly motors,Roscommon,Seat,Leon,2012.0,170958.0, 13 days ago,6500.0,Manual,1.2,Hatchback,Petrol,5.0,44.0,2.0,White,270.0,October,2024.0,2022-09-07,3164594,8.779557455883728,10.0,False,False,False,Seat_Leon
14381,Conor cassidy cars,Roscommon,Seat,Leon,2014.0,210818.0, 4 days ago,8250.0,Manual,1.6,Hatchback,Diesel,,,2.0,Grey,,July,2022.0,2022-09-07,3164690,9.017968479328726,8.0,False,False,False,Seat_Leon
15139,O&#039;neill&#039;s car sales,Meath,Seat,Leon,2015.0,204658.0, 3 days ago,14999.0,Automatic,2.0,Hatchback,Diesel,5.0,50.0,2.0,White,200.0,September,2023.0,2022-09-07,3165957,9.61573881119536,7.0,False,False,False,Seat_Leon
15424,Private,Louth,Seat,Leon,2015.0,187000.0, 17 minutes ago,15250.0,Manual,2.0,Hatchback,Diesel,5.0,,1.0,Blue,190.0,October,2023.0,2022-09-07,3166447,9.632334782035558,7.0,False,False,False,Seat_Leon
15516,Hughes motors,Dublin,Seat,Leon,2017.0,136998.0, 10 days ago,16995.0,Manual,2.0,Estate,Diesel,5.0,53.0,3.0,Red,,July,2023.0,2022-09-07,3166649,9.740674462130217,5.0,False,False,False,Seat_Leon
15830,Cartwright,Kerry,Seat,Leon,2015.0,196000.0, 7 hours ago,9950.0,Manual,1.6,Hatchback,Diesel,5.0,57.0,2.0,Grey,190.0,July,2023.0,2022-09-07,3167154,9.205327830152639,7.0,False,False,False,Seat_Leon
16314,One stop motors,Dublin,Seat,Leon,2014.0,217779.0, 6 days ago,15995.0,Automatic,2.0,Hatchback,Diesel,5.0,50.0,1.0,Black,200.0,August,2023.0,2022-09-07,3167915,9.680031452383618,8.0,False,False,False,Seat_Leon
16542,Quinn motors,Kilkenny,Seat,Leon,2018.0,45941.0, 6 days ago,19950.0,Manual,1.2,Hatchback,Petrol,5.0,48.0,2.0,Red,200.0,July,2022.0,2022-09-07,3168265,9.90098442231801,4.0,False,False,False,Seat_Leon
16577,O&#039;neill&#039;s car sales,Meath,Seat,Leon,2015.0,143422.0, 8 days ago,15999.0,Manual,2.0,Hatchback,Diesel,5.0,55.0,2.0,White,190.0,November,2023.0,2022-09-07,3168317,9.680281499268713,7.0,False,False,False,Seat_Leon
16590,Quinn motors,Kilkenny,Seat,Leon,2017.0,140389.0, 4 days ago,21950.0,Manual,2.0,Hatchback,Diesel,5.0,56.0,2.0,Blue,200.0,July,2023.0,2022-09-07,3168333,9.996522418503318,5.0,False,False,False,Seat_Leon
16625,Brian reynolds car sales,Louth,Seat,Leon,2014.0,79998.0, 1 hour ago,11950.0,Manual,1.6,Hatchback,Diesel,5.0,57.0,3.0,White,,May,2024.0,2022-09-07,3168381,9.388486557359657,8.0,False,False,False,Seat_Leon
16965,Leslie roycroft and sons,Cork,Seat,Leon,2015.0,148059.0, 2 days ago,14950.0,Manual,2.0,Hatchback,Diesel,5.0,56.0,2.0,Black,,None,,2022-09-07,3168909,9.612466578818832,7.0,False,True,False,Seat_Leon
17439,George corbett motors,Waterford,Seat,Leon,2022.0,22.0, 1 day ago,28995.0,Manual,1.0,Estate,Petrol,5.0,,1.0,Grey,,July,2026.0,2022-09-07,3169698,10.274878680310541,0.0,False,False,False,Seat_Leon
