,id,make,model,true,predict,score,ccp_alpha,max_depth,max_features,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_estimators,alpha_value,trainScore
12697,3161357,Bmw,3 Series,10.596509725282923,10.399184606454478,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
3901,3107938,Ford,Fiesta,9.99857043378282,9.962385942888227,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
6050,3137457,Ford,Transit,10.51867319162636,10.393000414877728,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
10366,3156581,Volkswagen,T-Roc,10.532096211958502,10.638315699611825,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
11612,3159334,Ford,Fiesta,9.86526633971593,9.759716314496941,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
3321,3104704,Volkswagen,Polo,9.647949933410914,9.492497451682528,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
13479,3163001,Nissan,Qashqai,10.084766899751639,10.116328618852664,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
6572,3138907,Nissan,Serena,9.67721410821299,9.82901099210654,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
16680,3168456,Opel,Grandland X,10.146433731146518,10.430660859974266,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
12837,3161692,Volkswagen,Golf,9.539644119118783,9.586849353667224,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
10263,3156330,Volkswagen,Polo,9.205327830152639,9.189173055060303,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
15516,3166649,Seat,Leon,9.740674462130217,9.779170389718828,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
8061,3151289,Volkswagen,Polo,9.60911649193355,9.463547350257745,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
12750,3161509,Volkswagen,Golf,9.647949933410914,9.733015324031534,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
11966,3160029,Mini,Hatch,9.79784922051313,9.570479132595734,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
13021,3162050,Nissan,Juke,8.881836305004146,8.882886720798139,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
7696,3150454,Toyota,Corolla,9.578103612900335,9.428508517077026,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
1745,3096118,Hyundai,i10,9.906732282701016,10.1348384488716,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
10426,3156704,Skoda,Superb,10.305613759378778,10.369890021408002,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
8223,3151750,Volkswagen,Tiguan,10.644114515280394,10.629102668561853,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
4084,3109014,Renault,Clio,9.877656792501606,9.8795596829623,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
17105,3169187,Peugeot,308,10.1226230824528,10.05087265605531,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
17471,3169748,Ford,Transit,10.194177596502213,10.195645323920955,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
11173,3158230,Peugeot,5008,10.325318014730557,10.07115539081938,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
11958,3160010,Kia,Rio,8.85352256068954,8.880799864226537,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
3865,3107809,Nissan,Qashqai,9.658226195968298,9.63636945863382,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
11820,3159747,Ford,Mondeo,10.596509725282923,10.317268346175776,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
2640,3101311,Skoda,Karoq,10.448714603019452,10.581365665878455,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
2359,3099787,Toyota,Rav4,9.539644119118783,9.676101785362587,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
7474,3149913,Ford,Fiesta,9.927936232938437,9.859477944338192,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
12868,3161740,Toyota,Prius,9.792555991828847,9.836399468793882,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
10875,3157602,Hyundai,i30,9.301094735244646,9.457933482749336,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
11899,3159885,Skoda,Octavia,9.738023112808596,9.687643408500852,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
6247,3137954,Ford,Fiesta,9.738023112808596,9.773714606493535,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
6763,3139528,Volkswagen,Golf,9.738023112808596,9.651691073352664,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
7811,3150753,Peugeot,5008,10.475878531960273,10.353740145519096,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
1418,3093923,Skoda,Superb,10.371927459805681,10.278550134049022,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
1302,3093094,Land,ROVER Range Rover Evoque,10.274878680310541,10.100794751494591,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
10169,3156138,Skoda,Octavia,9.878169744551839,10.088409983650159,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
5138,3134738,Skoda,Kodiaq,10.596609732783568,10.673972735527382,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
15083,3165866,Seat,Ibiza,8.846496938558838,8.933916622290697,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
8578,3152530,Audi,A5,10.077020603297003,10.040221512545862,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
5285,3135295,Nissan,Qashqai,9.792276623200125,9.862117673510575,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
15059,3165831,Opel,Grandland X,10.307284603543595,10.609528167949204,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
