,id,make,model,true,predict,score,max_depth,max_features,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_estimators,alpha_value,trainScore
15486,3166554,Hyundai,Tucson,10.308619271743055,10.366683850422806,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
9181,3153967,Volkswagen,Transporter,10.415412571745419,10.459585610196026,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
6106,3137562,Peugeot,3008,10.273325483001141,10.201029738362282,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
3367,3104938,Land,ROVER Discovery,9.994241915804592,9.693496566115632,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
14615,3165085,Nissan,Qashqai,10.184522582266116,10.08205318279906,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
10417,3156686,Toyota,Corolla,10.239781201782993,10.196065789680352,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
12690,3161343,Toyota,Corolla,8.145839612936841,7.656106193540388,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
8799,3153071,Audi,A3,9.67721410821299,9.633055856547841,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
2301,3099532,Nissan,Micra,8.691146498539675,8.913348500207466,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
16757,3168581,Skoda,Superb,9.453286550586572,9.594593538920622,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
13984,3163987,Bmw,X1,9.301094735244646,9.589931548530195,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
17402,3169639,Hyundai,i30,9.795345393916424,9.884814118367213,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
1691,3095757,Mazda,Demio,9.468851067127684,9.434026896564143,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
15897,3167244,Ford,Focus,9.51044496442652,9.486819072709519,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
16446,3168122,Land,ROVER Discovery,10.404111313817522,10.622015593950138,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
15146,3165969,Bmw,3 Series,10.165659490817816,10.220849760735213,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
12048,3160165,Toyota,Corolla,8.160803920954665,8.493322684459427,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
16684,3168460,Opel,Crossland X,10.239959789157341,10.414598605622814,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
12117,3160309,Ford,Fiesta,9.61547209118311,9.5978059760301,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
1681,3095693,Nissan,Qashqai,9.468851067127684,9.362174404771874,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
10427,3156705,Skoda,Fabia,9.539644119118783,9.341630812182242,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
12842,3161698,Volkswagen,Caddy,8.980927207648378,9.271790022230377,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
3591,3106198,Bmw,X5,10.817756241458644,10.73422030860651,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
13832,3163644,Bmw,3 Series,8.986571625268054,8.985815496240633,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
8297,3151884,Toyota,Landcruiser,11.250911139267025,10.878184243357293,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
740,3089258,Nissan,Qashqai,10.103771809704256,10.118333723950323,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
38,3084614,Volkswagen,Polo,9.506734385029985,9.409827835933166,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
5437,3135679,Seat,Arona,10.239781201782993,10.192006335575995,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
5252,3135160,Seat,Ateca,10.432644132986843,10.443115799720646,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
17208,3169351,Nissan,Qashqai,10.571316925111784,10.500329502639875,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
10118,3156038,Bmw,3 Series,10.273325483001141,10.20102492725572,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
7962,3151102,Ford,Focus,10.308785980087194,10.177184976733699,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
4467,3114691,Audi,Q5,10.04107321548869,9.86701889988574,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
10119,3156040,Hyundai,i40,9.612466578818832,9.677783548900296,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
