,true,predict,make,model,score,alpha,epsilon,max_iter
13692,9.205327830152639,9.148283844709532,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
11876,8.980927207648378,9.119406602537712,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
1295,9.528794103094718,9.475206923035117,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
9402,9.508591395777199,9.428371162457086,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
4235,8.922658299524402,9.156754792453473,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
7418,8.980927207648378,8.934071749305385,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
9681,8.88875674784872,8.903352841591609,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
17260,9.158520623246385,9.220948229752466,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
8141,9.612466578818832,9.710269046197553,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
3604,9.898475010712584,10.004389884226239,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
1153,9.825526011066415,9.800724113592592,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
10505,9.047233034106032,9.11624488378848,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
17163,9.581559041355757,9.622011088870476,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
15465,9.825255704266555,9.863671138278857,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
3347,9.90098442231801,9.815166882071287,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
15864,8.202482446576537,8.452509148636778,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
3213,9.388486557359657,9.40953779362198,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
9702,9.546455401949554,9.667132881512316,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
6947,9.851931065621725,9.688361511243611,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
15673,6.20455776256869,7.42867136237985,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
6346,9.3492323708428,9.285984553815885,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
4445,8.83927669058535,8.777362345949678,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
1125,9.258654232254733,9.17840874529521,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
14636,9.738023112808596,9.706819923816823,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
4214,10.132613175527885,10.090313977405032,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
11023,9.383452989684827,9.375457264938774,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
6735,9.867601273971719,9.880616857505501,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
13081,8.909235279192261,9.030724201197266,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
6306,9.137231900155545,9.136201976244736,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
12435,9.464207095933233,9.511108906917565,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
