,id,make,model,true,predict,score,max_depth,max_leaf_nodes,min_samples_leaf,min_samples_split,n_estimators,alpha_value,trainScore
9036,3153566,Bmw,7 Series,11.37308851978243,11.335622794205083,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
7836,3150814,Ford,Transit,10.238172478583245,10.137915346776742,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
1030,3093510,Peugeot,2008,10.495985324946144,10.225079997229832,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
13912,3163782,Volkswagen,Golf,9.543234787249512,9.734411370406427,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
14636,3165114,Nissan,Micra,9.738023112808596,9.692823389393178,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
2864,3102498,Mazda,Demio,9.468851067127684,9.408086745722324,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
3054,3103399,Volvo,XC90,8.66561319653451,9.052820871826182,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
17000,3169020,Audi,Q3,10.124629101179664,10.30978870047456,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
3452,3105407,Ford,Kuga,10.165659490817816,10.164906238380725,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
7218,3140888,Honda,HR-V,9.838949031398556,9.713162432137047,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
2129,3098570,Skoda,Superb,10.544024782823776,10.817418236854005,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
2025,3098002,Volkswagen,Polo,9.429475901892854,9.511252914380249,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
17499,3169785,Skoda,Karoq,10.238172478583245,10.213693520756568,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
17330,3169531,Peugeot,Partner,9.67721410821299,9.447332112804409,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
9839,3155484,Hyundai,i30,10.239781201782993,10.254315535185079,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
10354,3156563,Peugeot,5008,9.468851067127684,9.55738782142328,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
13086,3162167,Peugeot,2008,10.37333491957356,10.290097841741805,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
