,id,make,model,true,predict,score,max_depth,min_samples_leaf,min_samples_split,n_estimators,alpha_value,trainScore
16849,3168723,Audi,A4,10.702120240942051,10.427554397030537,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
2686,3101540,Renault,Megane,10.146433731146518,10.101358466096748,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
9096,3153696,Hyundai,Tucson,10.679228031399926,10.619676834627722,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
6673,3139182,Bmw,X5,11.12652741957929,10.855520768256284,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
7963,3151103,Audi,A6,10.239781201782993,10.30428997674439,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
6149,3137677,Ford,Transit Custom,9.72913416539135,9.830297957269032,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
10387,3156627,Ford,Fiesta,9.528794103094718,9.644696269701694,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
14231,3164450,Ford,Transit Custom,9.345745008982385,9.598715022916492,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
12700,3161361,Bmw,3 Series,10.083723602839061,9.815501399528472,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
13520,3163099,Volkswagen,Golf,8.980927207648378,9.715139345408845,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
1697,3095803,Nissan,Qashqai,10.081633737919603,10.01298481451612,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
464,3087349,Hyundai,i20,9.74090979777877,9.730035820709693,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
6324,3138174,Opel,Astra,9.67721410821299,9.737751772507744,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
12387,3160797,Hyundai,Tucson,7.718685495198466,9.176817820945459,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
10751,3157375,Volkswagen,Polo,10.03889218954233,9.898547889475962,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
14158,3164303,Nissan,Qashqai,10.081005925824062,10.074934996480483,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
15698,3166947,Ford,Fiesta,8.955577146281511,9.24163155618503,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
15356,3166319,Volkswagen,Touareg,10.596384701840863,10.766865376005224,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
3256,3104425,Bmw,5 Series,10.126591103050316,10.099471499612616,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
6186,3137791,Hyundai,Tucson,9.973246796950981,10.098212182833485,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
14706,3165232,Bmw,X5,11.00126616045566,10.494074443781892,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
16865,3168743,Audi,A1,9.153770020487789,9.14886036198176,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
15988,3167378,Volkswagen,Polo,9.432683603119623,9.430626843662601,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
