,id,make,model,true,predict,score,max_depth,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,n_estimators,alpha_value,trainScore
787,3089618,Volkswagen,Polo,9.104424146384634,9.208782857904456,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
2812,3102251,Skoda,Superb,10.1226230824528,10.108834863355321,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
13144,3162293,Ford,Kuga,10.021270588192511,9.73957652728843,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
11189,3158258,Land,ROVER Range Rover Sport,11.541998712455936,11.219238304065097,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
522,3087904,Mercedes-benz,CLA Class,10.307284603543595,10.175653979163659,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
15442,3166473,Ford,Transit Custom,9.564512185696797,9.817649440286482,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
14369,3164671,Bmw,1 Series,9.811920359010637,9.712255616162272,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
14059,3164149,Nissan,Qashqai,10.062625773874425,9.931005925720193,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
7328,3141235,Volkswagen,Polo,9.388486557359657,9.34247732388585,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
10985,3157861,Volkswagen,Polo,9.371608519572305,9.271390149864432,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
863,3090352,Volkswagen,Golf,9.468851067127684,9.34980577159646,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
2174,3098763,Audi,Q5,10.46310334047155,10.39794635776046,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
9949,3155698,Bmw,X3,10.371927459805681,10.447239884875072,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
13866,3163701,Hyundai,i30,9.612466578818832,9.668177248218766,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
8891,3153265,Volkswagen,Polo,9.388486557359657,9.200693175429953,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
12017,3160114,Hyundai,Tucson,9.875602349046593,9.908140531334823,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
6222,3137893,Toyota,Yaris,9.737728084041152,9.858863732948995,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
3493,3105616,Ford,Focus,9.792555991828847,9.316078504045432,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
11695,3159521,Skoda,Kodiaq,10.69183127007966,10.771448133875525,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
